Product,03/24/2026,03/25/2026,03/26/2026,03/27/2026,03/28/2026,03/29/2026,03/30/2026,03/31/2026,04/01/2026,04/02/2026,04/03/2026,04/04/2026,04/05/2026,04/06/2026,2-Week Total,Max (Par)
Vienna Cream,14,13,13,15,16,14,18,15,15,15,16,17,14,19,214,
Whole Milk,12,16,13,11,15,11,24,11,16,13,12,17,13,25,209,
Espresso Beans,9,10,11,9,14,11,10,11,12,13,10,15,11,11,157,30
Oat Milk,5,4,6,6,7,6,6,8,6,8,7,8,6,7,90,
Buttercream,5,4,4,5,5,5,7,8,6,6,6,7,6,7,81,
Cup Carriers,4,2,3,2,4,2,2,4,3,3,2,4,3,2,40,4
M1200 Matcha,1,2,1,2,2,3,2,2,2,2,2,2,3,2,28,
Ice Cups,2,1,2,3,2,1,2,2,1,2,3,2,1,2,26,
Agave Cases,1,2,1,1,1,2,1,2,2,2,1,2,2,2,22,
2% Milk,2,2,1,1,1,1,1,2,2,1,1,1,1,1,18,
Strawberry Puree Cases,1,1,1,2,1,,2,1,1,1,2,1,1,2,17,
Sanchez (retail),,3,1,,2,,,1,3,1,1,2,1,1,16,
Almond Milk,1,1,1,1,1,1,1,1,1,1,1,2,1,1,15,
Receipt rolls,1,1,1,1,1,1,1,1,1,1,1,1,1,2,15,2
Black Straws,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,
Cup Sleeves - Green,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,
Custom Ice Cups,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,
Decaf Beans,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,2
Dulce,1,,1,1,1,,2,1,1,1,1,1,1,2,14,
Ice lid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,
Paper Bag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,
Paper Towel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,
Half & Half,,1,1,1,1,1,1,1,1,1,1,1,1,1,13,
Chai,1,1,1,1,1,,1,1,1,1,1,1,,1,12,1
Beverage Napkin,1,,1,,1,1,1,1,,1,,1,1,1,10,
Mocha,,1,2,,1,1,,,1,2,,1,1,,10,
Tonic Water,,1,1,1,,1,1,,1,1,1,,1,1,10,2
Rose,,,1,2,1,,,,,1,2,1,1,,9,
Honey,1,,1,1,,,1,1,,1,1,,,1,8,1
Ube Condensed Milk,,1,1,1,1,,,,1,1,1,1,,,8,1
Bleach,,,,,1,1,1,,,,,1,1,1,6,2
Caramel,1,,,1,,,1,1,,,1,,,1,6,1
Condensed Milk,,1,,,,,1,,1,,,,,1,4,
Paper 4 Cup Carrier Bag - Tamper Resistant,,2,,,,,,,2,,,,,,4,
Coldbrew Concentrate,,1,,,,,,,1,1,,,,,3,
Dish Detergent,,,,,,,1,,,,,,,1,2,
Mirado (retail),,,,,1,,,,,,,1,,,2,
Nitrile Gloves,,,,,,,1,,,,,,,1,2,2
Scarlet Tea,,,1,,,,,,,1,,,,,2,1
Toilet Solution,,,,,,,1,,,,,,,1,2,
Rinza,,,,,,,,,,,,,1,,1,2

DAILY TOTAL,70,78,77,75,88,70,97,82,88,88,81,97,79,104,1174,
