Product,03/14/2026,03/15/2026,03/16/2026,03/17/2026,03/18/2026,03/19/2026,03/20/2026,03/21/2026,03/22/2026,03/23/2026,03/24/2026,03/25/2026,03/26/2026,03/27/2026,2-Week Total
Whole Milk,30,27,33,27,28,31,30,32,27,33,27,29,31,30,415
Vienna Cream,20,20,20,17,19,20,20,23,20,22,19,20,21,19,280
Espresso Beans,15,16,17,15,18,18,18,18,16,18,17,19,19,18,242
Buttercream,5,4,5,4,5,5,5,5,4,5,5,5,5,5,67
Oat Milk,5,4,4,4,5,5,5,5,4,4,4,5,5,5,64
Toilet Paper,4,4,4,2,2,3,5,5,6,7,4,3,3,5,57
Sanchez (retail),3,2,2,1,4,5,5,4,2,2,2,5,5,5,47
Vanilla Syrup,2,1,1,3,2,2,2,2,2,2,3,2,2,2,28
2% Milk,1,1,2,2,2,2,2,1,1,2,2,2,2,2,24
Almond Milk,2,1,1,1,2,2,1,2,1,1,1,2,2,1,20
Agave Cases,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Black Straws,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Cup Carriers,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Cup Sleeves,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Cup Sleeves - Green,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Custom Ice Cups,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Ice lid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
M1200 Matcha,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Paper Bag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
Half & Half,1,1,1,1,1,,1,1,1,1,1,1,,1,12
Ice Cups,,,,1,1,1,1,1,1,1,1,1,1,1,11
Coldbrew Concentrate,,,,,1,1,1,,,,,1,1,1,6
Soyo Matcha,1,1,,,,1,,1,1,,,,1,,6
Matcha Drizzle,,,,,1,1,,,,,,1,1,,4
Rose,,,,,1,1,,,,,,1,1,,4
Tonic Water,,,,,1,,1,,,,,1,,1,4
Chai,,,,,1,,,,,,,1,,,2
Decaf Beans,,,,,1,,,,,,,1,,,2
Sugar Tub,,,,,1,,,,,,,1,,,2

DAILY TOTAL,98,91,99,87,105,107,106,109,95,107,95,110,109,105,1423
